,is_movie,release_year,year_added,month_added,duration_num,rating_num
409,0,2020,2020,6,60,18.0
410,1,2019,2019,7,83,18.0
413,1,2016,2017,8,92,0.0
414,1,2019,2019,5,40,14.0
415,1,2018,2019,2,84,18.0
416,1,2017,2019,1,104,18.0
417,1,2006,2018,7,91,17.0
418,1,2020,2020,2,109,18.0
419,1,2018,2019,5,100,17.0
420,1,2020,2020,1,90,14.0
421,1,2017,2018,4,90,18.0
422,1,2020,2020,8,94,10.0
423,1,2009,2018,11,99,14.0
424,1,2019,2019,6,90,18.0
425,1,2017,2020,3,95,17.0
426,0,2020,2020,5,60,18.0
427,1,2020,2020,8,92,18.0
428,0,2019,2020,6,60,14.0
429,1,2016,2019,2,103,17.0
430,1,2019,2020,11,103,14.0
431,1,2001,2019,10,103,17.0
432,1,2013,2019,10,45,0.0
435,1,2017,2018,1,90,0.0
436,1,2018,2019,1,106,18.0
437,0,2020,2020,2,120,18.0
438,1,2020,2020,3,75,18.0
439,1,2019,2020,3,98,14.0
440,0,2019,2020,2,120,14.0
441,1,2016,2020,9,112,14.0
442,1,2016,2016,9,92,18.0
443,1,2002,2020,9,103,13.0
444,1,2017,2017,7,104,18.0
445,1,2015,2017,6,92,18.0
446,1,1977,2019,12,172,14.0
447,1,2011,2019,4,125,14.0
448,1,2018,2018,4,96,18.0
449,0,2018,2018,7,60,10.0
450,1,2017,2017,6,44,10.0
451,0,2014,2019,9,60,14.0
452,0,2013,2020,11,120,14.0
453,1,2016,2017,6,81,18.0
454,1,2017,2020,1,112,17.0
455,1,1999,2020,1,122,17.0
456,1,2017,2018,12,101,14.0
457,0,2017,2017,5,180,18.0
458,0,2016,2019,3,60,18.0
459,1,2017,2017,4,53,18.0
460,0,2018,2019,5,60,10.0
461,1,2018,2019,5,53,14.0
462,1,2019,2019,8,110,14.0
463,1,2019,2019,9,10,0.0
464,1,2019,2019,7,99,18.0
465,1,2014,2019,10,95,17.0
466,1,1998,2019,11,119,17.0
467,1,2016,2019,4,163,17.0
468,0,2019,2020,11,540,18.0
469,1,2018,2019,4,55,18.0
470,1,2020,2020,9,84,18.0
471,0,2015,2016,4,60,14.0
472,1,2020,2020,10,96,17.0
473,1,2000,2019,9,102,17.0
474,1,2019,2019,11,90,18.0
475,0,2018,2018,9,120,18.0
476,1,2019,2019,9,106,18.0
477,1,2019,2020,2,72,14.0
478,0,2017,2018,4,60,18.0
479,1,2017,2019,2,127,14.0
480,1,1966,2017,7,116,10.0
481,1,2015,2018,7,128,17.0
482,1,2019,2019,3,61,18.0
483,1,2017,2017,3,57,18.0
484,1,2013,2017,1,80,10.0
485,1,1986,2018,4,80,0.0
486,1,1991,2018,4,75,0.0
487,1,1999,2018,4,75,0.0
488,1,2000,2018,4,79,0.0
489,1,2019,2020,8,93,18.0
490,1,1982,2020,6,129,18.0
491,1,2018,2020,6,108,17.0
492,1,2012,2019,4,87,14.0
493,1,2017,2021,1,71,17.0
494,0,2012,2017,1,60,14.0
495,1,2018,2019,3,97,10.0
496,1,2017,2020,10,91,17.0
497,1,2020,2020,12,83,14.0
498,1,2014,2019,6,85,18.0
499,1,2018,2018,11,116,18.0
500,1,2014,2020,9,130,14.0
501,1,2017,2017,8,111,18.0
502,1,2017,2019,2,113,18.0
503,1,2010,2020,5,97,18.0
504,0,2018,2019,9,60,14.0
